AcresBurned,Counties,Latitude,Longitude,Date
257314.0,Tuolumne,37.857,-120.086,2013-08-17
30274.0,Los Angeles,34.585595,-118.423176,2013-05-30
27531.0,Riverside,33.7095,-116.72885,2013-07-15
27440.0,Placer,39.12,-120.65,2013-08-10
24251.0,Ventura,0.0,0.0,2013-05-02
22992.0,Fresno,37.279,-119.318,2013-07-22
20292.0,Riverside,33.86157,-116.90427,2013-08-07
14754.0,Siskiyou,41.32,-123.176,2013-07-31
12503.0,Humboldt,41.035,-123.488,2013-08-10
11429.0,Tehama,40.042629999999996,-121.85396999999999,2013-08-23
8073.0,Shasta,40.498332,-122.535496,2013-09-09
7055.0,San Diego,32.95435,-116.47381000000001,2013-07-06
6965.0,Tehama,40.190062,-121.595555,2013-05-01
4346.0,Kern,34.7861,-118.9411,2013-05-15
4346.0,Ventura,34.7861,-118.9411,2013-05-15
3505.0,Sonoma,38.8167,-122.8498,2013-11-22
3166.0,Riverside,34.288877,-116.94131100000001,2013-05-01
3111.0,Contra Costa,37.90757,-121.88258200000001,2013-09-08
2781.0,San Diego,33.121109999999994,-116.52578999999999,2013-05-23
2462.0,Butte,39.446267999999996,-121.38236,2013-08-16
2236.0,San Diego,33.341,-117.3092,2013-10-05
2060.0,Tulare,36.208,-118.444,2013-08-24
1984.0,Santa Barbara,34.55048,-119.82428999999999,2013-05-27
1708.0,Mariposa,37.58202,-119.91071000000001,2013-06-16
1383.0,Riverside,33.62236,-117.40288000000001,2013-08-05
1271.0,San Diego,33.044579999999996,-116.5209,2013-05-26
1070.0,Tuolumne,38.25108,-120.02778,2013-08-05
917.0,Monterey,0.0,0.0,2013-12-16
794.0,Kern,35.707,-118.588,2013-08-18
712.0,Kern,34.882,-118.9194,2013-07-19
712.0,Los Angeles,34.49149,-118.61004399999999,2013-05-17
612.0,Kern,34.90327,-118.93388,2013-07-23
572.0,El Dorado,38.774,-120.29799999999999,2013-07-08
534.0,San Bernardino,34.071556,-117.048397,2013-06-28
513.0,Plumas,40.00842,-120.76466599999999,2013-08-18
510.0,Riverside,33.894055,-116.855019,2013-05-04
502.0,Modoc,41.2415,-121.035,2013-07-03
500.0,San Luis Obispo,35.15832,-120.05131000000002,2013-06-01
492.0,Contra Costa,37.96866,-121.91453,2013-07-01
482.0,Madera,37.015575,-119.78106000000001,2013-06-16
413.0,San Bernardino,34.302,-117.598,2013-08-20
406.0,Inyo,36.602575,-118.01651000000001,2013-02-24
376.0,Napa,38.628,-122.289,2013-10-03
354.0,San Benito,37.160346000000004,-120.937494,2013-05-03
311.0,Riverside,0.0,0.0,2013-02-28
305.0,Butte,39.439,-121.49700000000001,2013-10-04
303.0,San Joaquin,38.049929999999996,-120.90325,2013-05-30
298.0,Butte,39.434183000000004,-121.57680400000001,2013-06-03
296.0,Lake,0.0,0.0,2013-01-22
274.0,Contra Costa,39.90465,-121.74367,2013-07-01
274.0,Madera,37.116295,-119.63500400000001,2013-04-30
268.0,Los Angeles,34.149,-117.90799999999999,2013-09-23
263.0,San Diego,32.710918,-116.746023,2013-09-09
243.0,San Bernardino,34.35,-117.62,2013-08-08
240.0,Alameda,37.775057000000004,-121.73721299999998,2013-06-08
237.0,Placer,38.729296999999995,-121.38086200000001,2013-06-13
226.0,Glenn,0.0,0.0,2013-06-12
217.0,Glenn,39.514139,-122.56086200000001,2013-05-01
213.0,Monterey,0.0,0.0,2013-07-17
200.0,San Bernardino,34.2,-117.417,2013-09-24
200.0,Tehama,40.012398,-122.079871,2013-07-04
196.0,Shasta,40.5445,-121.3754,2013-08-19
195.0,Tehama,39.961309,-122.33087900000001,2013-07-19
190.0,Napa,38.382,-122.311,2013-11-21
170.0,Santa Barbara,34.611824,-120.074655,2013-05-28
163.0,Yolo,38.67479,-122.08725,2013-11-04
163.0,El Dorado,38.63987,-121.08438000000001,2013-07-19
163.0,Sacramento,38.63987,-121.08438000000001,2013-07-19
159.0,Sonoma,38.34599,-122.6503,2013-10-04
158.0,Sonoma,38.17693,-122.51253,2013-07-26
150.0,Alameda,0.0,0.0,2013-10-04
150.0,Riverside,33.990128000000006,-117.164997,2013-07-16
150.0,Stanislaus,37.436,-121.1955,2013-07-12
150.0,Fresno,36.7218,-119.2248,2013-06-25
150.0,Butte,0.0,0.0,2013-05-22
149.0,Los Angeles,34.419284000000005,-118.58688000000001,2013-05-28
134.0,Tulare,36.258,-118.459,2013-09-08
125.0,Sonoma,38.638828000000004,-122.655616,2013-05-01
124.0,Solano,38.08744,-122.13802,2013-06-18
124.0,Merced,37.03776,-121.00693899999999,2013-06-04
124.0,Riverside,33.963591,-117.18793400000001,2013-05-25
120.0,Lake,38.882214000000005,-122.567525,2013-11-08
116.0,El Dorado,38.682378,-120.839075,2013-08-16
110.0,San Bernardino,34.287,-117.45100000000001,2013-08-17
108.0,Fresno,36.772425,-119.62838899999998,2013-06-13
105.0,Monterey,36.1531,-120.8973,2013-06-29
100.0,Los Angeles,0.0,0.0,2013-08-09
100.0,Tuolumne,37.91529,-120.33313000000001,2013-06-02
100.0,San Diego,32.564465000000006,-116.900368,2013-05-22
98.0,Mendocino,38.9252,-122.96600000000001,2013-09-28
97.0,Modoc,41.73325,-120.375,2013-09-05
97.0,San Bernardino,33.641999999999996,-116.706,2013-08-24
97.0,Lassen,40.88886,-120.95812600000001,2013-08-09
96.0,Amador,38.27783,-120.966016,2013-06-12
94.0,San Luis Obispo,35.4393,-120.8358,2013-09-24
92.0,Butte,39.6612,-121.50353999999999,2013-08-01
91.0,Madera,37.1927,-119.7917,2013-05-19
90.0,Riverside,33.9582,-116.6534,2013-05-21
85.0,San Luis Obispo,35.62743,-120.83417,2013-07-07
82.0,Mendocino,39.0442,-123.1478,2013-11-22
80.0,Butte,39.731878,-121.71393799999998,2013-08-31
80.0,Fresno,0.0,0.0,2013-04-09
75.0,Tehama,0.0,0.0,2013-09-15
75.0,San Bernardino,34.316,-117.352,2013-07-25
75.0,Madera,37.169379,-119.75636000000002,2013-06-12
75.0,San Bernardino,34.1834,-117.4408,2013-05-13
75.0,Napa,38.441792,-122.350844,2013-04-30
73.0,San Bernardino,34.003151,-117.106075,2013-09-11
73.0,Yuba,39.205999999999996,-121.31634,2013-07-08
72.0,Butte,0.0,0.0,2013-05-01
70.0,Lake,39.013682,-122.49189399999999,2013-08-16
68.0,Modoc,41.568999999999996,-120.959,2013-09-07
64.0,Ventura,34.384,-119.13248999999999,2013-11-14
60.0,Riverside,38.838,-116.61,2013-08-06
60.0,Riverside,33.910270000000004,-116.99895,2013-08-04
52.0,Nevada,39.333401,-121.107022,2013-08-31
51.0,San Luis Obispo,35.457978000000004,-120.75155500000001,2013-11-08
50.0,Lake,39.0448,-122.7656,2013-11-23
50.0,Siskiyou,41.923322999999996,-122.57839299999999,2013-08-15
50.0,Santa Clara,37.1438,-121.7804,2013-07-12
50.0,Alameda,37.7393,-121.5869,2013-07-04
50.0,San Luis Obispo,35.5123,-120.6368,2013-05-25
46.0,Calaveras,38.06231,-120.45233,2013-08-17
46.0,Fresno,37.03087,-119.463757,2013-06-17
45.0,Mendocino,38.980846,-123.06767099999999,2013-07-23
44.0,Ventura,0.0,0.0,2013-12-10
43.0,Shasta,40.373000000000005,-122.7338,2013-07-09
42.0,Riverside,33.969359999999995,-117.1265,2013-06-08
41.0,San Mateo,37.667295,-122.42728500000001,2013-09-07
40.0,Santa Clara,37.342186,-121.717706,2013-12-31
40.0,Orange,33.7655,-117.6649,2013-10-06
40.0,San Diego,0.0,0.0,2013-09-26
40.0,Riverside,33.570291,-116.10815,2013-08-16
40.0,Siskiyou,0.0,0.0,2013-07-31
40.0,Riverside,33.9634,-117.2508,2013-07-19
40.0,Riverside,34.001745,-117.302057,2013-06-14
40.0,Riverside,33.655638,-116.161201,2013-05-16
38.0,El Dorado,38.89555,-120.84716,2013-08-24
38.0,Lake,39.1591,-122.5906,2013-08-07
38.0,Alameda,37.74241,-121.86216,2013-07-06
35.0,Fresno,36.763366999999995,-119.55824399999999,2013-06-13
35.0,San Luis Obispo,35.49864,-120.91375,2013-05-20
34.0,Shasta,0.0,0.0,2013-08-04
33.0,Shasta,40.483662,-122.140914,2013-11-07
31.0,Calaveras,37.965364,-120.69636200000001,2013-07-22
30.0,Lake,38.9777,-122.68299999999999,2013-09-15
30.0,Lake,38.992329999999995,-122.703193,2013-06-05
30.0,San Bernardino,34.288877,-116.94131100000001,2013-04-20
28.0,Sonoma,38.4229,-122.0437,2013-06-10
28.0,Solano,38.4229,-122.0437,2013-06-10
28.0,Lake,38.4229,-122.0437,2013-06-10
28.0,Colusa,38.4229,-122.0437,2013-06-10
27.0,Shasta,40.473356,-122.48258999999999,2013-08-14
25.0,San Diego,32.612773,-116.70733500000001,2013-07-28
25.0,Lake,38.980579999999996,-122.81796000000001,2013-06-20
25.0,Riverside,33.96201,-116.90721299999998,2013-05-20
23.0,Lake,38.9289,-122.5818,2013-11-23
15.0,Mendocino,0.0,0.0,2013-12-30
15.0,Riverside,33.94528,-117.09306000000001,2013-07-19
15.0,Madera,0.0,0.0,2013-05-12
0.0,Humboldt,41.333,-123.376,2013-08-03
0.0,Riverside,33.99647,-116.84137,2013-06-09
97717.0,El Dorado,38.805437,-120.62971399999999,2014-09-13
50042.0,Siskiyou,0.0,0.0,2014-08-02
39736.0,Shasta,40.900999999999996,-121.368,2014-07-30
35302.0,Siskiyou,42.048,-122.345,2014-07-30
32496.0,Siskiyou,0.0,0.0,2014-07-30
32416.0,Shasta,40.72,-121.56200000000001,2014-07-31
14416.0,San Diego,0.0,0.0,2014-05-15
13838.0,Madera,0.0,0.0,2014-07-28
13153.0,Modoc,41.1336,-121.2144,2014-07-30
12661.0,Shasta,40.4314,-122.75078799999999,2014-07-11
12536.0,Mendocino,0.0,0.0,2014-07-30
6488.0,Yolo,38.512,-122.104,2014-07-04
6258.0,Shasta,41.141000000000005,-122.805,2014-07-30
5503.0,Siskiyou,41.681999999999995,-122.12700000000001,2014-07-31
5367.0,San Diego,33.3529,-117.28488899999999,2014-05-14
4840.0,Monterey,0.0,0.0,2014-06-19
4772.0,Mariposa,0.0,0.0,2014-08-16
4689.0,Mariposa,0.0,0.0,2014-07-26
4300.0,Napa,38.664,-122.454,2014-07-01
4300.0,Lake,38.664,-122.454,2014-07-01
4240.0,Amador,38.5691,-120.7819,2014-07-25
4240.0,El Dorado,38.5691,-120.7819,2014-07-25
4045.0,Kern,35.7206,-118.4747,2014-08-18
3895.0,Kern,35.70683,-118.555527,2014-06-13
2143.0,San Bernardino,34.169346000000004,-117.547374,2014-04-30
1995.0,San Diego,33.1137,-117.1599,2014-05-14
1952.0,Los Angeles,34.1703,-117.8816,2014-01-16
1680.0,Kern,35.641999999999996,-118.15,2014-07-11
1651.0,Modoc,41.89,-120.79,2014-07-01
1548.0,San Diego,33.003,-117.133,2014-05-13
1469.0,Modoc,41.489,-120.904,2014-07-03
1457.0,San Diego,33.417572,-117.55056699999999,2014-05-16
1375.0,Shasta,40.7101,-122.171,2014-09-10
1080.0,Mariposa,0.0,0.0,2014-07-17
968.0,Orange,33.748000000000005,-117.601,2014-09-12
865.0,Tehama,40.134597,-121.79018300000001,2014-01-02
677.0,Mariposa,0.0,0.0,2014-05-26
632.0,Santa Barbara,34.609,-120.454,2014-05-13
612.0,Madera,37.3433,-119.6581,2014-08-18
600.0,San Diego,33.1109,-117.279,2014-05-14
580.0,Trinity,40.7412,-122.946,2014-08-24
516.0,Siskiyou,41.423840000000006,-122.37432,2014-09-15
487.0,Tuolumne,37.76617,-120.45087,2014-06-04
459.0,Placer,0.0,0.0,2014-10-08
403.0,Mendocino,0.0,0.0,2014-09-13
400.0,Monterey,36.6313,-121.4819,2014-03-19
389.0,Butte,0.0,0.0,2014-07-28
380.0,San Diego,33.312,-117.162,2014-05-14
350.0,Riverside,0.0,0.0,2014-03-15
333.0,Humboldt,40.884415000000004,-123.773779,2014-01-04
320.0,Madera,37.311915,-119.604124,2014-09-14
311.0,Mariposa,37.0,40.34,2014-10-07
300.0,Mariposa,0.0,0.0,2014-09-05
300.0,Merced,0.0,0.0,2014-07-24
274.0,Los Angeles,34.266999999999996,-117.867,2014-08-17
269.0,Tuolumne,37.787,-120.45200000000001,2014-06-05
247.0,Nevada,39.113682,-120.999508,2014-09-13
225.0,Tehama,40.009827,-122.345078,2014-06-13
217.0,San Diego,33.078948,-116.576454,2014-07-03
210.0,Humboldt,41.13399999999999,-123.75299999999999,2014-09-12
190.0,Los Angeles,34.235,-117.771,2014-08-14
175.0,Lake,39.1647,-122.5983,2014-05-25
143.0,Shasta,40.6569,-122.2215,2014-07-09
130.0,Mariposa,37.7103,-120.197,2014-06-10
125.0,Santa Clara,0.0,0.0,2014-06-30
125.0,San Diego,32.81,-116.49,2014-03-08
120.0,Calaveras,120.679019,38.178241,2014-06-20
120.0,Placer,0.0,0.0,2014-01-22
113.0,Inyo,37.399,-118.352,2014-04-19
106.0,Fresno,36.8266,-119.3415,2014-01-25
105.0,San Diego,0.0,0.0,2014-05-14
101.0,Modoc,41.507,-121.266,2014-08-12
100.0,Lake,0.0,0.0,2014-09-03
100.0,Riverside,0.0,0.0,2014-09-01
94.0,El Dorado,38.59,-120.02799999999999,2014-09-14
90.0,Mariposa,0.0,0.0,2014-06-06
85.0,Calaveras,38.058,-120.66,2014-06-22
84.0,Nevada,39.3918,-120.0805,2014-08-18
80.0,Santa Clara,0.0,0.0,2014-08-28
80.0,Contra Costa,37.5359,-121.5118,2014-07-11
79.0,Mariposa,0.0,0.0,2014-09-07
78.0,Riverside,0.0,0.0,2014-07-23
75.0,Shasta,40.5719,-121.3415,2014-07-05
75.0,Monterey,36.103,-121.117,2014-04-30
72.0,Butte,39.4664,-121.6129,2014-07-14
70.0,Tuolumne,37.8316,-120.3434,2014-09-04
70.0,Kern,0.0,0.0,2014-07-01
70.0,Solano,121.999,38.453,2014-06-12
65.0,Inyo,0.0,0.0,2014-09-16
62.0,Mendocino,0.0,0.0,2014-09-21
60.0,Butte,0.0,0.0,2014-01-01
57.0,Riverside,33.5982,-116.1985,2014-03-28
56.0,San Diego,0.0,0.0,2014-05-14
